split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_002,SORAFENIB,all,xgboost_cell_only_clip_train,6008,6.07485958853255,4.179672854997648,0.008434199083811267,0.0958391317341371,0.08330790986644844
lodo_002,SORAFENIB,central_abs_le_100,xgboost_cell_only_clip_train,6008,6.07485958853255,4.179672854997648,0.008434199083811267,0.0958391317341371,0.08330790986644844
lodo_002,SORAFENIB,exactly_one_unseen,xgboost_cell_only_clip_train,6008,6.07485958853255,4.179672854997648,0.008434199083811267,0.0958391317341371,0.08330790986644844
lodo_003,SUNITINIB,all,mean,6068,5.143799406977206,3.627467109656697,-0.0029722454507330465,,
lodo_003,SUNITINIB,central_abs_le_100,mean,6068,5.143799406977206,3.627467109656697,-0.0029722454507330465,,
lodo_003,SUNITINIB,exactly_one_unseen,mean,6068,5.143799406977206,3.627467109656697,-0.0029722454507330465,,
lodo_003,SUNITINIB,all,median,6068,5.143996913250594,3.627642963085036,-0.0030492691050121312,,
lodo_003,SUNITINIB,central_abs_le_100,median,6068,5.143996913250594,3.627642963085036,-0.0030492691050121312,,
lodo_003,SUNITINIB,exactly_one_unseen,median,6068,5.143996913250594,3.627642963085036,-0.0030492691050121312,,
lodo_003,SUNITINIB,all,ridge_identity,6068,4.887778281982425,3.506260145002468,0.0943844691227902,0.31164752300088744,0.26231432414743977
lodo_003,SUNITINIB,central_abs_le_100,ridge_identity,6068,4.887778281982425,3.506260145002468,0.0943844691227902,0.31164752300088744,0.26231432414743977
lodo_003,SUNITINIB,exactly_one_unseen,ridge_identity,6068,4.887778281982425,3.506260145002468,0.0943844691227902,0.31164752300088744,0.26231432414743977
lodo_003,SUNITINIB,all,ridge_identity_clip_train,6068,4.887832311096028,3.5062930893748216,0.09436444780758035,0.31161964053594154,0.2622952561859621
lodo_003,SUNITINIB,central_abs_le_100,ridge_identity_clip_train,6068,4.887832311096028,3.5062930893748216,0.09436444780758035,0.31161964053594154,0.2622952561859621
lodo_003,SUNITINIB,exactly_one_unseen,ridge_identity_clip_train,6068,4.887832311096028,3.5062930893748216,0.09436444780758035,0.31161964053594154,0.2622952561859621
lodo_003,SUNITINIB,all,xgboost_identity,6068,5.029248656346981,3.5711830484371703,0.04120207760391337,0.21915817394985587,0.21006015430188787
