drug,pair_cell_count
PIPERAQUINE,333
IRINOTECAN,331
LAMOTRIGINE,331
A77 1726,327
CYCLOHEXIMIDE,327
NISOLDIPINE,325
TOPIRAMATE,325
ZONISAMIDE,325
NVP-AUY922,322
PRAZIQUANTEL,322
THAPSIGARGIN,316
ARIPIPRAZOLE,311
LEPTOMYCIN B,311
NVP-BGT226,306
NALTREXONE,299
BMS-754807,298
LEFLUNOMIDE,296
BTM-2C-DIMER ALLYL OXIME,295
APREPITANT,293
PAZOPANIB,293
ZILEUTON,293
ITRACONAZOLE,292
AZACITIDINE,291
EFAVIRENZ,291
MARAVIROC,291
PREDNISOLONE,291
EZETIMIBE,290
ARGATROBAN,289
BUMETANIDE,289
DIPYRIDAMOLE,289
EPINEPHRINE,289
FEBUXOSTAT,289
FELBAMATE,289
FLUMAZENIL,289
FLUTAMIDE,289
GANCICLOVIR,289
ISONIAZID,289
LANSOPRAZOLE,289
LUBIPROSTONE,289
MILRINONE,289
NATEGLINIDE,289
NITAZOXANIDE,289
PENTOSTATIN,289
PRIMIDONE,289
PROPYLTHIOURACIL,289
PYRAZINAMIDE,289
RALTEGRAVIR,289
RAMELTEON,289
RANOLAZINE,289
RIFABUTIN,289
ROSIGLITAZONE,289
SAXAGLIPTIN,289
THIABENDAZOLE,289
TOLVAPTAN,289
TRILOSTANE,289
ZAFIRLUKAST,289
ACARBOSE,288
ACITRETIN,288
CISATRACURIUM BESYLATE,288
CLOFARABINE,288
CLOFIBRATE,288
D-CYCLOSERINE,288
DUTASTERIDE,288
FOMEPIZOLE,288
GABAPENTIN,288
HYDROXYFLUTAMIDE,288
LACOSAMIDE,288
LEVETIRACETAM,288
LEVONORGESTREL,288
METHYLDOPA,288
MIGLITOL,288
MINOXIDIL,288
MYCOPHENOLIC ACID,288
NITISINONE,288
OLMESARTAN,288
PROBUCOL,288
RIBAVIRIN,288
SITAGLIPTIN,288
TETRABENAZINE,288
TRANEXAMIC ACID,288
TRIOXSALEN,288
VECURONIUM BROMIDE,288
DICHLORPHENAMIDE,287
ENDOXIFEN,287
STANOZOLOL,287
TRANYLCYPROMINE,287
AMILORIDE,286
ENOXACIN,286
ETOMIDATE,286
HYDRALAZINE,286
HYDROXYCHLOROQUINE,286
MAPROTILINE,286
METRONIDAZOLE,286
SULBACTAM,286
SULFAMETER,286
TRIMETHOPRIM,286
ZALCITABINE,286
AMOXAPINE,285
AMPRENAVIR,285
ASENAPINE,285
CARISOPRODOL,285
CLOPIDOGREL,285
ETHINYL ESTRADIOL,285
FLUVOXAMINE,285
LEVAMISOLE,285
PENTAMIDINE,285
PRAMIPEXOLE,285
QUININE,285
RISPERIDONE,285
TACROLIMUS,285
VARENICLINE,285
ALISKIREN,284
AMANTADINE,284
CINACALCET,284
CITALOPRAM,284
DOPAMINE,284
DRONEDARONE,284
EFLORNITHINE,284
ELTROMBOPAG,284
ISOPROTERENOL,284
LOPERAMIDE,284
MEMANTINE,284
OSELTAMIVIR,284
PROCARBAZINE,284
SILDENAFIL,284
SUMATRIPTAN,284
TACRINE,284
TERAZOSIN,284
TESTOSTERONE,284
TETRACYCLINE,284
THEOPHYLLINE,284
TRAZODONE,284
TRIFLUOPERAZINE,284
ALBENDAZOLE,283
CHLORZOXAZONE,283
CLOFIBRIC ACID,283
DEXMEDETOMIDINE,283
ENTACAPONE,283
LITHIUM CITRATE,283
MESALAZINE,283
METHYCLOTHIAZIDE,283
NIZATIDINE,283
OLMESARTAN MEDOXOMIL,283
PROBENECID,283
PYRIDOSTIGMINE BROMIDE,283
SPIRONOLACTONE,283
TINIDAZOLE,283
TRIAMTERENE,283
(+\\/-)-SULFINPYRAZONE,282
3-AMINO-2-OXAZOLIDINONE,282
4-AMINOSALICYLIC ACID,282
6-HYDROXYBUSPIRONE,282
ABACAVIR,282
ACETAZOLAMIDE,282
ACETOHEXAMIDE,282
ACETOHYDROXAMIC ACID,282
AMODIAQUINE,282
ARMODAFINIL,282
ATENOLOL,282
AZATADINE,282
BACLOFEN,282
BOSENTAN,282
BRETYLIUM TOSYLATE,282
BUSPIRONE,282
CANRENONE,282
CARBACHOL,282
CARGLUMIC ACID,282
CEFMENOXIME,282
CERIVASTATIN,282
CEVIMELINE,282
CHLORPHENESIN,282
CILASTATIN,282
CISAPRIDE,282
CYCLOGUANIL,282
DANTROLENE,282
DESOXYCORTICOSTERONE PIVALATE,282
DEXCHLORPHENIRAMINE,282
DIAZOXIDE,282
DIETHYLCARBAMAZINE,282
DIGITOXIN,282
DIHYDROARTEMISININ,282
DIPHENIDOL,282
DOXAPRAM,282
ENALAPRILAT,282
EPTIFIBATIDE,282
ETHAMBUTOL,282
EZETIMIBE GLUCURONIDE,282
FOSFOMYCIN,282
FURAZOLIDONE,282
GALANTAMINE,282
GUANADREL,282
HYDROXYMETRONIDAZOLE,282
IBUTILIDE,282
ILOPROST,282
IMIPRAMINE,282
ISOSORBIDE DINITRATE,282
MEBUTAMATE,282
MECAMYLAMINE,282
MECLOFENAMIC ACID,282
MEPHENYTOIN,282
METAXALONE,282
METHYLERGONOVINE,282
METYROSINE,282
MIGLUSTAT,282
MINOXIDIL SULFATE,282
NORCISAPRIDE,282
NOVOBIOCIN,282
OSELTAMIVIR ACID,282
OXYPHENBUTAZONE,282
OXYPHENONIUM BROMIDE,282
PARGYLINE,282
PAROMOMYCIN,282
PHENPROCOUMON,282
PHENSUXIMIDE,282
PINACIDIL,282
PIPERAZINE HEXAHYDRATE,282
PYRAZINOIC ACID,282
RIBAVIRIN 5\'-TRIPHOSPHATE,282
